"","name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","grade","playlists","length_name","english_name","name_language","name_style","name_scene","name_instruments","name_feeling","name_praise","name_location","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些","length_intro","intro_歌单","intro_音乐","intro_歌曲","intro_喜欢","intro_封面","intro_专辑","intro_歌手","intro_风格","intro_quot","intro_amp","intro_更新","intro_旋律","intro_收录","intro_节奏","intro_好听","intro_电音","欧美","流行","华语","电子","ACG","日语","古风","轻音乐","经典","器乐","治愈","兴奋","游戏","独立","另类","影视原声","民族","怀旧","粤语","摇滚","number_songs","number_hot_singers","talent","verification","musician","无","达人","认证","音乐人","log_play_count","cluster"
"11","『盾铁』B站剪刀手BGM","盾铁甜出糖尿病",1461196800,"<b>介绍：</b>B站盾铁BGM收集工程<br>努力投币！努力施工！<br>",4244,186,5,45,"[""欧美""]",50,7,13,12,"是","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",39,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",602,182,"否","否","否","是","否","否","否",8.35326149973387,3
"12","『耳机福利』左耳右耳已跪","傲娇的兵长-",1446940800,"[无简介]",5181,132,5,4,"[""流行"",""电子"",""ACG""]",1,7,6,12,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",0,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",87,9,"否","否","否","是","否","否","否",8.55275336681479,3
"13","『日系』☆毕业季★献给所有为理想奋斗的人","正六边形的雪花",1433203200,"<b>介绍：</b>结束并不单单只代表着结束，它同时也代表着新的起点；以前的种种成功、失败都已经过去了；从现在开始就是一个的人生；现在我们可以抛弃过去，重新开始。——献给奋斗者的歌<br>",18281,546,10,19,"[""日语"",""校园"",""ACG""]",4277,8,74,20,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",94,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",20,0,"是","否","否","否","是","否","否",9.81361754810709,3
"14","『日音』轻快节奏 清新民谣风","我眼睛会发光i",1464134400,"<b>介绍：</b>?不用炫技 不用高音 不用华丽的配乐 好的词曲平凡真诚的声音 一样可以唱到人心里去！这就是民谣的魅力——清新又易令人着迷的日系民谣风歌曲<br><br>推荐的民谣风格组合和个人歌手<br><br>1.ハンバート ハンバート（ハンバート ハンバート）<br>是日本男女双人组民谣团体，成立于1998年。佐藤良成,出生于神奈川县，擅长声乐、吉他、小提琴、曼陀林、作词、作曲。1998年与妻子佐野游穂组成二人民谣组合humbert humbert，佐野游穂在组合中负责声乐、口琴、锡哨笛、作词。（1~6）<br><br>2.羊毛和花（羊毛とおはな）<br>”是一支日系独立Acoustic男女二人组，小清新的风格，有浓重的欧式淡雅风味。 “羊毛和花”主要的音乐风格为日式乡村，其音乐作品基本全部以“羊毛”的吉他为Inst主线，“花”淳厚的声线，伴以特色鲜明的卷舌音，更是“羊毛和花”音乐的魅力所在。“羊毛”的，“花”的吟唱自在、随意，两者完美结合，酝生出满溢阳光味道的音乐。踱步时的随意哼唱，犹如阳光午后的一缕暖风。（2~12）<br><br>3.canappeco（小草帽）<br>乐团已经解散。他们一共发布了两张专辑，曲风都是那种云淡风轻的acoustic和folk，两人细细的唱着自己的小幸福（13~18）<br><br>4.PoPoyans<br>日本女子歌唱组合，曲风清新而温暖。两个清新可爱女生的浅吟轻唱， 如轻风拂过耳畔， 清新恬淡， 甜甜的小曲儿， 一个闲散的假日， 快乐， 俯拾即是。（19~24）<br><br>5.伊藤静（伊藤サチコ）<br>日本女性声优、歌手。知名艺人事务所贤production的代表声优之一。主要活跃于动画和游戏作品中。（25~30）<br><br>6.イノトモ(inotomo)<br>一个福冈出身的女孩 以独特的声线加上抒情慢曲把听者带到自己的音乐世界，描写自己的世界观和人生观（31~36）<br><br>7.森慧<br>这个歌手貌似不是特别出名 到处都找不到简介不过喜欢就够了 不是吗？（37~42）<br><br>8.つじあやの<br>辻亚弥乃一首接一首的唱着恋曲，带给听者以温柔的印象，但生活当中的她其实是一个充满干劲的活泼女孩。除了谱曲与作词，她还是一名弹奏ukulele的能手，在2008年甚至举行过名为“尤克里里教室”的巡回活动，为歌迷手把手教授ukulele。从2000年开始，以每年一张的速度推出专辑，始终获得极高评价。（43~48）<br><br>封面PID:57641186<br>",19474,663,24,17,"[""日语"",""清新"",""民谣""]",10674,9,34,14,"否","否","是","否","否","是","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否",1083,"否","是","是","是","是","是","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",44,0,"是","否","否","否","是","否","否",9.8768355215387,3
"15","『梶浦由记』深入灵魂的配乐师","Oktavia_w",1438905600,"<b>介绍：</b>本单主题：梶浦由记<br>本单风格：纯音乐/圣咏/欧式<br>真心希望大家用心去听w<br>~~~~~~~~~~~~~~~~~~~~~~~~~~~<br>一部动漫，加上合适的配乐，往往能起到极好的烘托情感与气氛的效果，令人眼前一亮。<br><br>日本有很多炒鸡棒的配乐师，久石让、管野洋子、泽野弘之、和田熏……数不胜数，佳作遍地有，不得不说日本虽然国土不大，但算得上是音乐大国。<br><br>我最爱梶浦由记，她不是科班出身，但她的作品中有一种灵气，欧式的圣咏与器乐结合，声部交织，那真是触及灵魂的音乐。<br><br>《空之境界》的配乐算是梶浦由记的巅峰之作，BGM配上画面简直帅炸！每一首配乐都可单曲循环，op更不用说啦~小圆，舞hime,首首都是精品。<br><br>梶浦很擅长组织声部，不论是人声还是器乐，可以兼具华丽与朴实。她的风格如此独特且如一，有人因此而批评她过于风格化，太过单一。我觉得无所谓，强行转变她的个人风格不一定是好事，若想多元化，不如去听管野洋子（另一个令人惊喜不断的配乐师，我可能也会为她做一单w）的配乐了。<br><br>太爱梶浦由记，想说的实在太多，多言无益，大家先听为快吧。<br><br>P.S. 选曲真是令人头疼，每一首都是极喜欢的，割肉一样地选出了这30首曲子，真的很希望大家用心去听。<br>",3140,68,12,4,"[""ACG"",""伤感"",""日语""]",27,8,57,14,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",578,"否","是","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",30,0,"否","否","否","是","否","否","否",8.0519780789023,3
"16","『? ισv? γσυ ? 谜情』","-飞鳥屿魚_",1468195200,"<b>介绍：</b>仲夏午夜<br>",10906,118,1,5,"[""浪漫"",""夜晚"",""性感""]",406,10,28,17,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",18,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",599,15,"否","否","否","是","否","否","否",9.29706837548601,3
"17","『RDJ』B站个人向BGM","盾铁甜出糖尿病",1461888000,"<b>介绍：</b>【高三闭关 暂停更新??(?′Д｀?)??】<br>B站RDJ个人向、钢铁侠个人向、水仙etc. BGM收集工程<br><br>",1170,62,1,6,"[""欧美""]",50,7,13,13,"是","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否",74,"否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",153,40,"否","否","否","是","否","否","否",7.0647590277918,3
"18","【 Kenny G 为著名歌手伴奏演唱金曲汇辑】","幻Olina",1482105600,"<b>介绍：</b>Kenny G（肯尼-基）1956年6月5日出生于美国西雅图，是全球最著名的高音萨克斯演奏家，专辑累计销量冲破7500万张，称霸世界。是当代最畅销爵士乐乐手。肯尼基非凡的才华赢得了格莱美奖、全美音乐奖、灵魂列车奖、世界音乐奖。<br><br>本辑收集了 Kenny G（肯尼-基）为世界著名歌手伴奏演唱的经典单曲汇总。<br>",569,39,5,2,"[""感动"",""经典"",""浪漫""]",3271,8,734,24,"是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",173,"否","是","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否",67,0,"是","否","否","否","是","否","否",6.34388043412633,3
"19","【爱我的灵魂 ~ 唯美吟唱】弛放 New Age","幻Olina",1482278400,"<b>介绍：</b>爱我的灵魂 ~ 今生之爱，让灵魂融为一体<br><br>面对相思的月光，写下满页的诗章。<br>岁月踏着记忆的吟颂，携着被影子吞噬的光芒，浸染了沧桑的城市风景...... <br><br>曾几何时，不论季节怎样更迭，那川流不息，茫茫的人海之中，总能一眼寻找到，灵魂的唯一，与你相逢。<br><br>不问轮回几次花落，绕指的情思起起又落落，祈祷的诗词，一场浪漫花事，延续千百年来未了的，未终的情，不曾散场，不曾遗忘。依着相逢的葱绿，一站一站的走下去，纵然苍颜白发，也会风雨无惧地，收起秋水天长的依旧。<br><br>岁月漫长 -------<br><br>你念，或者不念我，情就在那里，不来不去。 你爱，或者不爱我，爱就在那里，不增不减。 你跟，或者不跟我，我就在那里 ，不悲不喜.，默然 相爱，寂静 欢喜.......<br>",2052,55,33,5,"[""世界音乐"",""New Age"",""经典""]",3271,8,734,24,"是","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",373,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否",56,1,"是","否","否","否","是","否","否",7.62657020629066,3
"20","【波普爵士】萨克斯?DexterGordon","双鱼脆脆",1472169600,"<b>介绍：</b>萨克斯风手 Dexter Gordon 纵横爵士乐坛超过半个世纪之久，即使不提他的音乐，传奇故事也足以令乐迷回味<br><br>Gordon 40年代出道，亮眼的外型与精采的Bebop演奏技巧让他迅速窜红，是当时纽约爵士夜店里常举办的音乐擂台上的常胜军，必杀绝招「乾坤大挪移」，就是在即兴演奏之外，常常吹到兴起便把其他经典乐曲里的句子挪来使用。<br><br>专辑《Go!》：是戈登自己最钟意的录音，也是爵士史上萨克斯风最美丽音符的集合之一。因本身顽固的个性，以及酗酒、咳药因素远赴欧洲一段时间的戈登，再次回到纽约，录下这张绝美录音。坚持Bebop风格的戈登在这张录音放慢速度，同时吹奏线条略显晕染，呈现他温柔叙事的功力。合作的是他熟悉的班底，彼此良好的默契没话说，整体节奏由戈登的中音萨克斯风带领，他的吹奏掌握乐曲的表情，加上其他乐手精采的绿叶表现，愉悦的爵士气氛薰染耳膜。<br><br>专辑《Dexter Calling》：是摇摆爵士与硬式咆勃爵士的完美融合。开场曲&quot;Soul Sister&quot;以华尔兹的3/4拍节奏进行，充满灵魂风味的华尔兹？！不过听起来就是动感且够味。接著则是正常版的硬式咆勃爵士，Gordon毫不费力地即兴吹出多数乐手望其项背的句子。直到&quot;Ernie’s Tune&quot;，Gordon开始以叙事曲的态度展现他内心戏功力。第七轨则是默剧泰斗卓别林的经典名曲&quot;Smile&quot;，昔日Jam Session擂台上无敌手的功力在此尽展。整张专辑的高潮所在，则是最后一轨Gordon向另一位萨克斯风手Harold Land致敬的作品&quot;Landslide&quot;，乐手间流畅俐落的合作，高低起伏的情绪，诚属佳作。整张专辑呈现出的风格就是绝大多数听众对爵士乐的基本想像，有慵懒，有创意。<br>",1451,47,1,1,"[""爵士""]",7401,9,146,22,"是","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否",796,"否","是","否","否","否","是","否","是","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",23,0,"是","否","否","否","是","否","否",7.28000825288419,3
